date_issued,author,title,description,link,page,issue
2018/09/24,Ludmilla Petrushevskaya,“Poor Girl”,“The wretched mother could easily have lost her sanity watching her husband love their daugh­ter.”,https://newyorker.com/magazine/2018/09/24/poor-girl,2,"September 24, 2018 Issue"
2018/09/17,Tessa Hadley,“Cecilia Awakened”,"“It was as if, on the first morning of that holiday in Florence, Cecilia simply woke up inside the wrong skin.”",https://newyorker.com/magazine/2018/09/17/cecilia-awakened,2,"September 17, 2018 Issue"
2018/09/10,Saïd Sayrafiezadeh,“Audition”,"“I took my place onstage, apprehensive beneath a single blinding spotlight, and waited for his direction, which was, simply, ‘Show me the color red.’ ”",https://newyorker.com/magazine/2018/09/10/audition,2,"September 10, 2018 Issue"
2018/09/03,Haruki Murakami,“The Wind Cave”,"“If my little sister really did disappear in the hole, never to return to this world, how would I ever explain that to my parents?”",https://newyorker.com/magazine/2018/09/03/the-wind-cave,2,"September 3, 2018 Issue"
2018/08/27,Sana Krasikov,“Ways and Means”,“Oliver had been placed on indefinite leave. The latest rumor was that another allegation had surfaced.”,https://newyorker.com/magazine/2018/08/27/ways-and-means,2,"August 27, 2018 Issue"
2018/08/06,Richard Ford,“Displaced”,"“He was the only friend I had. If I lost him, I might as well give up on life.”",https://newyorker.com/magazine/2018/08/06/displaced,2,"August 6 & 13, 2018 Issue"
2018/07/30,T. Coraghessan Boyle,Fiction by T. Coraghessan Boyle: “I Walk Between the Raindrops”,"“While it’s harsh to say it, this is what I’m getting at here: some people are doomed from the start.”",https://newyorker.com/magazine/2018/07/30/i-walk-between-the-raindrops,2,"July 30, 2018 Issue"
2018/07/23,Zadie Smith,Fiction by Zadie Smith: “Now More Than Ever”,“I instinctively sympathize with the guilty. That’s my guilty secret.”,https://newyorker.com/magazine/2018/07/23/now-more-than-ever,2,"July 23, 2018 Issue"
2018/07/09,Lauren Groff,“Under the Wave”,"“Out of the wildness, the branch of an oak plucked her from the water and she clung there, animal, as orange dawned over the marsh made alien with mud.”",https://newyorker.com/magazine/2018/07/09/under-the-wave,2,"July 9 & 16, 2018 Issue"
2018/07/02,Joseph O’Neill,“The First World”,"“My marriage came to an end, with consequences that were almost all beyond my powers of anticipation.”",https://newyorker.com/magazine/2018/07/02/the-first-world,2,"July 2, 2018 Issue"
2018/06/25,Gary Shteyngart,“The Luck of Kokura”,"“You execute one good trade, and people will listen to everything you say for the next five years.”",https://newyorker.com/magazine/2018/06/25/the-luck-of-kokura,3,"June 25, 2018 Issue"
2018/06/18,Weike Wang,“Omakase”,"“She didn’t want to sound insane, yet she also didn’t want to be a quiet little flower. So there she was, saying nothing but oscillating between these two extremes.”",https://newyorker.com/magazine/2018/06/18/omakase,3,"June 18, 2018 Issue"
2018/06/04,David Gilbert,“Fungus”,“How often does a person let his six-year-old decide all on her own?”,https://newyorker.com/magazine/2018/06/04/fungus,3,"June 4 & 11, 2018 Issue"
2018/06/04,Karen Russell,“Orange World”,“Orange World is a nest of tangled electrical cords and open drawers ﬁlled with steak knives. It’s a baby’s fat hand hovering over the blushing coils of a toaster oven.”,https://newyorker.com/magazine/2018/06/04/orange-world,3,"June 4 & 11, 2018 Issue"
2018/06/04,Lu Yang,“Silver Tiger”,“I fought the silver tiger for three days and three nights. During those three days and nights I lost all awareness of anything else in the hospital.”,https://newyorker.com/magazine/2018/06/04/silver-tiger,3,"June 4 & 11, 2018 Issue"
2018/05/28,Ben Marcus,“Stay Down and Take It”,"“There is only one road out of here, and everyone we know is on it, moaning silently, I imagine, gently rending their summer linens at this unwelcome disruption.”",https://newyorker.com/magazine/2018/05/28/stay-down-and-take-it,3,"May 28, 2018 Issue"
2018/05/21,John L’Heureux,“The Long Black Line”,"“The best thing he could do with his life was sacrifice it, and what better way to sacrifice it than as a Jesuit.”",https://newyorker.com/magazine/2018/05/21/the-long-black-line,3,"May 21, 2018 Issue"
2018/05/14,Edwidge Danticat,“Without Inspection”,"“He’d learned, while at sea, that time can stretch endlessly and that wind and air can suck you dry, forcing you to see what is not there.”",https://newyorker.com/magazine/2018/05/14/without-inspection,3,"May 14, 2018 Issue"
2018/05/07,Isaac Bashevis Singer,“The Boarder”,"A previously unpublished story by the Nobel laureate and National Book Award winner, who likely translated it himself.",https://newyorker.com/magazine/2018/05/07/the-boarder,3,"May 7, 2018 Issue"
2018/04/30,Robert Coover,“Treatments”,"“Life, he has always believed, is a comedy, but this isn’t very funny.”",https://newyorker.com/magazine/2018/04/30/treatments,3,"April 30, 2018 Issue"
2018/04/23,Yiyun Li,“A Flawless Silence”,“Could love find a place in a marriage if it had not started with some degree of fantasy?”,https://newyorker.com/magazine/2018/04/23/a-flawless-silence,4,"April 23, 2018 Issue"
2018/04/16,Keith Gessen,“How Did We Come to Know You?”,"“I thought maybe I was getting the hang of this country, this life. And then my grandmother fell down the stairs.”",https://newyorker.com/magazine/2018/04/16/how-did-we-come-to-know-you,4,"April 16, 2018 Issue"
2018/04/09,Camille Bordas,“The State of Nature”,"“My mother was glad about the burglary, in a way. She got to use all the knowledge that she’d gleaned from reading crime novels.”",https://newyorker.com/magazine/2018/04/09/the-state-of-nature,4,"April 9, 2018 Issue"
2018/04/02,Sam Allingham,“The Intermediate Class”,"“When I ring this bell, we will no longer speak English. If anyone speaks English, I will act as if I don’t understand.”",https://newyorker.com/magazine/2018/04/02/the-intermediate-class,4,"April 2, 2018 Issue"
2018/03/26,Tommy Orange,“The State”,“You’re from a people who took and took and took and took. And from a people taken. You’re both and neither.”,https://newyorker.com/magazine/2018/03/26/the-state,4,"March 26, 2018 Issue"
2018/03/19,Gish Jen,“No More Maybe”,"“We carry our visas everywhere, and keep a list of places we should not go. Texas. New Hampshire. Alabama.”",https://newyorker.com/magazine/2018/03/19/no-more-maybe,4,"March 19, 2018 Issue"
2018/03/12,Joseph O’Neill,“The Poltroon Husband”,"“I didn’t press Jayne further. If there’s one thing I’m not, it’s an interrogator. I decided to bide my time.”",https://newyorker.com/magazine/2018/03/12/the-poltroon-husband,4,"March 12, 2018 Issue"
2018/03/05,Nicole Krauss,“Seeing Ershadi”,"“His face did something to me. Or, rather, the film, with its compassion and its utterly jarring ending, did something to me.”",https://newyorker.com/magazine/2018/03/05/seeing-ershadi,4,"March 5, 2018 Issue"
2018/02/26,William Trevor,“Mrs. Crasthorpe”,"“She’d been impulsive once upon a time, hasty and not caring that she was. Tups had called her a spur-of-the-moment girl.”",https://newyorker.com/magazine/2018/02/26/mrs-crasthorpe,4,"February 26, 2018 Issue"
2018/02/12,Rachel Kushner,“Stanville”,“Gordon had dreaded death row but found that it didn’t quite conform to his nightmares.”,https://newyorker.com/magazine/2018/02/12/stanville,4,"February 12 & 19, 2018 Issue"
2018/02/05,Jeffrey Eugenides,“Bronze”,"“Eugene’s little secret? He wanted to be beautiful. If that didn’t work, noticeable would do.”",https://newyorker.com/magazine/2018/02/05/bronze,5,"February 5, 2018 Issue"
2018/01/29,Jhumpa Lahiri,“The Boundary”,"“After just a few hours, it’s as if they’d always lived here. The things they’ve brought for a week in the country are scattered all over the place.”",https://newyorker.com/magazine/2018/01/29/the-boundary,5,"January 29, 2018 Issue"
2018/01/22,John Edgar Wideman,“Writing Teacher”,“Show not tell. Don’t bother telling me or telling a young woman you are on her side and wish to help. She doesn’t need that kind of help.”,https://newyorker.com/magazine/2018/01/22/writing-teacher,5,"January 22, 2018 Issue"
2018/01/15,David Gates,“Texas”,“What was he doing in this room with these young people? His wife used to sit in that chair. He used to sit where this young man was.”,https://newyorker.com/magazine/2018/01/15/texas,5,"January 15, 2018 Issue"
2018/01/08,Sadia Shepard,“Foreign-Returned”,"“He had spent his entire life in Pakistan as part of the majority. What would it feel like, he wondered, to consider America home?”",https://newyorker.com/magazine/2018/01/08/foreign-returned,5,"January 8, 2018 Issue"
2018/01/01,Colin Barrett,"“Whoever Is There, Come on Through”","“Being depressed is like being in a dream. The suspicion is that everyone you meet is actually depressed, too, only they don’t know it.”",https://newyorker.com/magazine/2018/01/01/whoever-is-there-come-on-through,5,"January 1, 2018 Issue"
2017/12/18,Zadie Smith,“The Lazy River”,"“We are on vacation, from life and from struggle both. We are ‘going with the ﬂow.’”",https://newyorker.com/magazine/2017/12/18/the-lazy-river,5,"December 18 & 25, 2017 Issue"
2017/12/11,Kristen Roupenian,“Cat Person”,"“It was a terrible kiss, shockingly bad; Margot had trouble believing that a grown man could possibly be so bad at kissing.”",https://newyorker.com/magazine/2017/12/11/cat-person,5,"December 11, 2017 Issue"
2017/12/04,J. M. Coetzee,“The Dog”,"“It sends him into ecstasies of rage, this whiff of fear coming off the being on the other side of the gate.”",https://newyorker.com/magazine/2017/12/04/the-dog,5,"December 4, 2017 Issue"
2017/11/27,Will Mackin,“The Lost Troop”,"“We could have left it all behind, walked off the outpost into the desert, never to be seen again.”",https://newyorker.com/magazine/2017/11/27/the-lost-troop,5,"November 27, 2017 Issue"
2017/11/20,David Gilbert,“The Sightseers”,Fiction: “For the most part the biggest sin was the old sin of being ugly Americans.”,https://newyorker.com/magazine/2017/11/20/the-sightseers,6,"November 20, 2017 Issue"
2017/11/13,Thomas McGuane,“Riddle”,"“We don’t remember everything, but I’d love to know who’s in charge of what we forget. If there’s a system, it escapes me.”",https://newyorker.com/magazine/2017/11/13/riddle,6,"November 13, 2017 Issue"
2017/11/06,Anne Enright,“The Hotel”,"“There was no one to ask which way to go. No cleaners, no security, no passengers pulling luggage or pushing trolleys in hijabs or shorts or travelling shawls.”",https://newyorker.com/magazine/2017/11/06/the-hotel,6,"November 6, 2017 Issue"
2017/10/30,Joseph O’Neill,“The Sinking of the Houston”,“When I became a parent of young children I also became a purposeful and relentless opportunist of sleep.”,https://newyorker.com/magazine/2017/10/30/the-sinking-of-the-houston,6,"October 30, 2017 Issue"
2017/10/23,Denis Johnson,“Strangler Bob”,“Most of us would have ﬁt in perfectly in a psych ward. Many of us had already been there.”,https://newyorker.com/magazine/2017/10/23/strangler-bob,6,"October 23, 2017 Issue"
2017/10/16,Tessa Hadley,“Funny Little Snake”,"“Valerie wouldn’t have guessed that the child had it in her, to enter so completely into a life other than her own.”",https://newyorker.com/magazine/2017/10/16/funny-little-snake,6,"October 16, 2017 Issue"
2017/10/09,Sarah Shun-lien Bynum,“Likes”,"“The dad scrolled through his daughter’s Instagram account, looking for clues.”",https://newyorker.com/magazine/2017/10/09/likes,6,"October 9, 2017 Issue"
2017/10/02,Ben Marcus,“Blueprints for St. Louis”,"“They’d been friends once, before they’d got into designing memorials for unspeakable catastrophes.”",https://newyorker.com/magazine/2017/10/02/blueprints-for-st-louis,6,"October 2, 2017 Issue"
2017/09/25,Jonas Hassen Khemiri,“As You Would Have Told It to Me (Sort Of) If We Had Known Each Other Before You Died”,“Eight months later I died in a moped accident in Portugal. One week later I was resurrected in Stockholm.”,https://newyorker.com/magazine/2017/09/25/as-you-would-have-told-it-to-me,6,"September 25, 2017 Issue"
2017/09/18,Edwidge Danticat,"“Sunrise, Sunset”",“What if this is the last day that she recalls anything? What if she never recognizes anyone again?”,https://newyorker.com/magazine/2017/09/18/sunrise-sunset,6,"September 18, 2017 Issue"
2017/09/11,Allegra Goodman,“F.A.Q.s”,"“It couldn’t last, this secret life, this music in plain sight.”",https://newyorker.com/magazine/2017/09/11/faqs,7,"September 11, 2017 Issue"
2017/09/04,Miranda July,“The Metal Bowl”,"“It happened in an apartment, on an old couch. I wasn’t directed so much as given a series of props to make my way through, like an obstacle course.”",https://newyorker.com/magazine/2017/09/04/the-metal-bowl,7,"September 4, 2017 Issue"
2017/08/28,Lauren Groff,“Dogs Go Wolf”,"“They’d been left alone on the island, the two little girls. Four and seven.”",https://newyorker.com/magazine/2017/08/28/dogs-go-wolf,7,"August 28, 2017 Issue"
2017/08/21,Garth Greenwell,“An Evening Out”,"“I knew I was acting badly, that I was looking too brazenly and too long, that I shouldn’t have looked at all.”",https://newyorker.com/magazine/2017/08/21/an-evening-out,7,"August 21, 2017 Issue"
2017/08/07,Don DeLillo,“The Itch”,“Certain days it’s the left wrist. Upper arms at home in the evening. Thighs and shins most likely at night. ”,https://newyorker.com/magazine/2017/08/07/the-itch-don-delillo,7,"August 7 & 14, 2017 Issue"
2017/07/31,Kirstin Valdez Quade,“Christina the Astonishing (1150-1224)”,"“On the day of Christina’s exorcism, the Saracens stormed the Holy Land.”",https://newyorker.com/magazine/2017/07/31/christina-the-astonishing-1150-1224,7,"July 31, 2017 Issue"
2017/07/24,Cristina Henríquez,“Everything Is Far from Here”,“ ‘Did you see a little boy?’ she asks every new arrival. ‘A boy who looks like me?’ ”,https://newyorker.com/magazine/2017/07/24/everything-is-far-from-here,7,"July 24, 2017 Issue"
2017/07/10,Hye-young Pyun,“Caring for Plants”,“Oghi knew that his mother-in-law was worried about him. He also knew that she blamed him. He was the reason that her one and only child was gone.”,https://newyorker.com/magazine/2017/07/10/caring-for-plants,7,"July 10 & 17, 2017 Issue"
2017/07/03,Italo Calvino,“The Adventure of a Skier”,"“One by one they fell, backward or forward, and he alone was cutting through the air, bent double over his skis, until he saw her.”",https://newyorker.com/magazine/2017/07/03/the-adventure-of-a-skier,7,"July 3, 2017 Issue"
2017/06/26,William Trevor,“The Piano Teacher’s Pupil”,"Fiction: “Within this small boy, so modest in his manner, there were symphonies unwritten, suites and concertos and oratorios.”",https://newyorker.com/magazine/2017/06/26/the-piano-teachers-pupil,7,"June 26, 2017 Issue"
2017/06/19,Andrew Sean Greer,“It’s a Summer Day”,"Fiction: “He is nominated for a prize no one believes he will win. Not his agent, who urged him to stay home and start a new book.”",https://newyorker.com/magazine/2017/06/19/its-a-summer-day,8,"June 19, 2017 Issue"
2017/06/05,Will Mackin,“Crossing the River No Name”,"Fiction: “One rainy night, in March, 2009, we crossed a muddy ﬁeld to intercept a group of Taliban who’d come out of the mountains of Pakistan.”",https://newyorker.com/magazine/2017/06/05/crossing-the-river-no-name,8,"June 5 & 12, 2017 Issue"
2017/06/05,Sherman Alexie,"“Clean, Cleaner, Cleanest”","Fiction: “She was a motel maid, but it helped to think like a doctor or a nurse. It helped to think that she was helping other people.”",https://newyorker.com/magazine/2017/06/05/clean-cleaner-cleanest,8,"June 5 & 12, 2017 Issue"
2017/06/05,Curtis Sittenfeld,“Show Don’t Tell”,Fiction: “The difference between who I was then and who I am now is that now I never assume that anyone I encounter shares my opinion about anything.”,https://newyorker.com/magazine/2017/06/05/show-dont-tell,8,"June 5 & 12, 2017 Issue"
2017/05/29,Samanta Schweblin,“The Size of Things”,Fiction: “Only once I was inside did I realize that leaving Duvel there alone had been a tremendous mistake.”,https://newyorker.com/magazine/2017/05/29/the-size-of-things,8,"May 29, 2017 Issue"
2017/05/22,Samantha Hunt,“A Love Story”,Fiction: “The list of potential reasons that my husband and I no longer have sex wakes me up at night. If I’m not already awake thinking about the coyotes.”,https://newyorker.com/magazine/2017/05/22/a-love-story-samantha-hunt,8,"May 22, 2017 Issue"
2017/05/15,Etgar Keret,“Fly Already”,"Fiction: “Maybe he changed his mind and went back inside, I try to tell myself. But I don’t believe it.”",https://newyorker.com/magazine/2017/05/15/fly-already,8,"May 15, 2017 Issue"
2017/05/08,Yiyun Li,“A Small Flame”,Fiction: “Those who allow themselves to be hurt in the name of love must understand better than anyone the desire to hurt.”,https://newyorker.com/magazine/2017/05/08/a-small-flame,8,"May 8, 2017 Issue"
2017/05/01,David Means,“Two Ruminations on a Homeless Brother”,"Fiction: “Those who were once known as mad, Skid Row bums, stumblebums and drunkards and junkies were now seen as diseased victims who might be treated.”",https://newyorker.com/magazine/2017/05/01/two-ruminations-on-a-homeless-brother,8,"May 1, 2017 Issue"
2017/04/24,Lara Vapnyar,“Deaf and Blind”,"Fiction: “Although I didn’t know anything about sex, I understood what there was to understand about lovers.”",https://newyorker.com/magazine/2017/04/24/deaf-and-blind,8,"April 24, 2017 Issue"
2017/04/17,Akhil Sharma,“You Are Happy?”,"Fiction: “Lakshman, watching his mother, felt that what she was planning was so bizarre that it could not possibly happen.”",https://newyorker.com/magazine/2017/04/17/you-are-happy,9,"April 17, 2017 Issue"
2017/04/10,Emma Cline,“Northeast Regional”,Fiction: “They were the type of women whose own sorrow moved them immeasurably. Who wanted to recount the details of their worst tragedies in the lull after sex.”,https://newyorker.com/magazine/2017/04/10/northeast-regional,9,"April 10, 2017 Issue"
2017/04/03,John Lanchester,“Signal”,Fiction: “You aren’t allowed to ask for the Wi-Fi password before you say hello.”,https://newyorker.com/magazine/2017/04/03/signal-john-lanchester,9,"April 3, 2017 Issue"
2017/03/27,Victor Lodato,"“Herman Melville, Volume I”","Fiction: “Good teeth, she’s learned, are like a passport: they helped you cross borders.”",https://newyorker.com/magazine/2017/03/27/herman-melville-volume-i,9,"March 27, 2017 Issue"
2017/03/20,F. Scott Fitzgerald,“I.O.U.”,A previously unpublished short story from 1920.,https://newyorker.com/magazine/2017/03/20/the-i-o-u,9,"March 20, 2017 Issue"
2017/03/13,Anne Enright,“Solstice”,Fiction: “It felt like the end of things. Made you want your religion back.”,https://newyorker.com/magazine/2017/03/13/solstice,9,"March 13, 2017 Issue"
2017/03/06,Zadie Smith,“Crazy They Call Me”,"Fiction: “Not only is there no more Eleanora, there isn’t any Billie, either. There is only Lady Day.”",https://newyorker.com/magazine/2017/03/06/crazy-they-call-me,9,"March 6, 2017 Issue"
2017/02/27,Lore Segal,“Ladies’ Lunch”,"Fiction: “The five women have grown old coming together, every other month or so for the last thirty or more years, around one another’s table.”",https://newyorker.com/magazine/2017/02/27/ladies-lunch-lore-segal,9,"February 27, 2017 Issue"
2017/02/13,Curtis Sittenfeld,“The Prairie Wife”,Fiction: “Kirsten’s commute is when she really focusses on whether she has the power to destroy Lucy Headrick’s life.”,https://newyorker.com/magazine/2017/02/13/the-prairie-wife,9,"February 13 & 20, 2017 Issue"
2017/02/06,David Gilbert,“Underground”,"Fiction: “Love, in all forms, had turned into a kind of regret.”",https://newyorker.com/magazine/2017/02/06/david-gilbert-underground,9,"February 6, 2017 Issue"
2017/01/30,Alix Ohlin,“Quarantine”,"Fiction: “She found it hurtful to see other people’s smiling, healthy families or, even worse, to hear about lives that seemed as fragile as her own.”",https://newyorker.com/magazine/2017/01/30/quarantine-by-alex-ohlin,10,"January 30, 2017 Issue"
2017/01/23,Elif Batuman,“Constructed Worlds”,"Fiction: “Every time I looked up, Einstein seemed to be looking back at me in an expectant way, as if to say, Now what?”",https://newyorker.com/magazine/2017/01/23/constructed-worlds,10,"January 23, 2017 Issue"
2017/01/16,Thomas Pierce,“Chairman Spaceman”,"Fiction: “Jerome, with a very serious expression, asked what Dom would do if an alien wanted to have sex with him.”",https://newyorker.com/magazine/2017/01/16/chairman-spaceman,10,"January 16, 2017 Issue"
2017/01/09,Yiyun Li,“On the Street Where You Live”,Fiction: “You can’t share with others who your child truly is.”,https://newyorker.com/magazine/2017/01/09/on-the-street-where-you-live,10,"January 9, 2017 Issue"
2017/01/02,Camille Bordas,“Most Die Young”,"Fiction: “Shyness, fear, and timidity are highly valued among the Pawong.”",https://newyorker.com/magazine/2017/01/02/most-die-young,10,"January 2, 2017 Issue"
2016/12/19,Mariana Enriquez,“Spiderweb”,"Fiction: “I fell in love too quickly, I got married impetuously, and now I was living with Juan Martín, who irritated and bored me.”",https://newyorker.com/magazine/2016/12/19/spiderweb,10,"December 19 & 26, 2016 Issue"
2016/12/12,Joseph O’Neill,“Pardon Edward Snowden”,Fiction: “The poet Mark McCain received an e-mail inviting him to sign a ‘poetition’ requesting that President Obama pardon Edward Snowden.”,https://newyorker.com/magazine/2016/12/12/pardon-edward-snowden,10,"December 12, 2016 Issue"
2016/12/05,Sam Shepard,“Tiny Man”,"Fiction: “Early morning: They deliver my father’s corpse in the trunk of a ’49 Mercury coupe, dew still heavy on the taillights.”",https://newyorker.com/magazine/2016/12/05/tiny-man,10,"December 5, 2016 Issue"
2016/11/28,Robert Coover,“The Hanging of the Schoolmarm”,"Fiction: “The schoolmarm’s just showing off again, making their brains ache, unrepentant criminal that she is.”",https://newyorker.com/magazine/2016/11/28/the-hanging-of-the-schoolmarm,10,"November 28, 2016 Issue"
2016/11/21,Lauren Groff,“Flower Hunters”,Fiction: “What is it about me that people need breaks from? she asks the dog.”,https://newyorker.com/magazine/2016/11/21/flower-hunters,10,"November 21, 2016 Issue"
2016/11/14,Mohsin Hamid,“Of Windows and Doors”,"Fiction: “Rumors had begun to circulate of doors that could take you elsewhere, often to places far away, well removed from this death trap of a country.”",https://newyorker.com/magazine/2016/11/14/of-windows-and-doors,11,"November 14, 2016 Issue"
2016/11/07,T. Coraghessan Boyle,“Are We Not Men?”,"Fiction: ""In a room at GenLab, Connie and I were presented with an exhaustive menu of just how our chromosomes could be made to match up.”",https://newyorker.com/magazine/2016/11/07/are-we-not-men,11,"November 7, 2016 Issue"
2016/10/31,Anne Carson,Back the Way You Went,Fiction: “What would they have seen if they’d gazed into each other’s depths? But they didn’t.”,https://newyorker.com/magazine/2016/10/31/back-the-way-you-went,11,"October 31, 2016 Issue"
2016/10/24,Ottessa Moshfegh,“An Honest Woman”,"Fiction: “Jeb could hear almost everything that went on in her house, he’d ﬁgured out, if he listened carefully from his basement window.”",https://newyorker.com/magazine/2016/10/24/an-honest-woman,11,"October 24, 2016 Issue"
2016/10/17,Cynan Jones,“The Edge of the Shoal”,"Fiction: “It is cold and it is pitch-black. Blacker when he opens his eyes, blacker than it was when they were closed—a stunning nothingness.”",https://newyorker.com/magazine/2016/10/17/the-edge-of-the-shoal,11,"October 17, 2016 Issue"
2016/10/10,Kevin Barry,“Deer Season”,"Fiction: “It’s the sort of thing that could get me in a lot of trouble around here,” he said. “Who’ll know?” she said.",https://newyorker.com/magazine/2016/10/10/deer-season,11,"October 10, 2016 Issue"
2016/10/03,Etgar Keret,“To the Moon and Back”,Fiction: “Lidor looks at me like I’m some kind of a superhero. There’s nothing greater than to have your kid look at you that way.”,https://newyorker.com/magazine/2016/10/03/to-the-moon-and-back,11,"October 3, 2016 Issue"
2016/09/26,Petina Gappah,“A Short History of Zaka the Zulu”,"Fiction: “How could any of us have imagined, in the innocence of those days, that there had been this darkness at the school?”",https://newyorker.com/magazine/2016/09/26/a-short-history-of-zaka-the-zulu,11,"September 26, 2016 Issue"
2016/09/19,Rivka Galchen,“How Can I Help?”,Fiction: “I like and admire Hayley; she is a team player. I don’t judge. But I have of late been tempted to judge.”,https://newyorker.com/magazine/2016/09/19/how-can-i-help,11,"September 19, 2016 Issue"
2016/09/12,Robert Coover,“Invasion of the Martians”,"“He explained to them, politely, that there were certain obligatory regulations, and they shot him.”",https://newyorker.com/magazine/2016/09/12/invasion-of-the-martians-by-robert-coover,11,"September 12, 2016 Issue"
2016/09/05,Jonathan Lethem,“A Gentleman’s Game”,"Fiction: “Bruno had for his entire life associated backgammon with candor, the dice not determining fate so much as revealing character.”",https://newyorker.com/magazine/2016/09/05/a-gentlemans-game-by-jonathan-lethem,12,"September 5, 2016 Issue"
