board_id,board_name,school_id,school_name,municipality,enrolment,lat,long,first_lang_not_english,first_lang_not_french,newcomer,special_ed,gifted,grade_3_standard_reading,grade_3_standard_writing,grade_3_standard_math,grade_6_standard_reading,grade_6_standard_writing,grade_6_standard_math,low_income,parent_university_edu
B28010,Algoma DSB,165042,Echo Bay Central Public School,Macdonald Meredith et al,179.0,46.48567,-84.0637,,100.0,,12.8,,83.0,74.0,70.0,64.0,64.0,43.0,11.69,
B28010,Algoma DSB,186783,Esten Park Public School,Elliot Lake,143.0,46.37191,-82.61981,,95.8,,7.7,,,,,90.0,75.0,30.0,23.54,
B28010,Algoma DSB,202614,Francis H Clergue Public School,Sault Ste. Marie,617.0,46.51862,-84.30964,,99.8,,3.4,,,,59.0,,,,17.4,12.58
B28010,Algoma DSB,227331,Grand View Public School,Sault Ste. Marie,242.0,46.50955,-84.2659,,100.0,,12.8,,81.0,86.0,81.0,80.0,67.0,47.0,9.64,19.18
B28010,Algoma DSB,230561,Greenwood Public School,Sault Ste. Marie,206.0,46.56732,-84.35278000000001,,100.0,,18.0,,50.0,81.0,31.0,65.0,65.0,38.0,13.45,9.16
B28010,Algoma DSB,237191,H M Robbins Public School,Sault Ste. Marie,256.0,46.5328,-84.38951,,100.0,,23.4,,58.0,63.0,37.0,79.0,50.0,38.0,19.49,
B28010,Algoma DSB,264750,Hornepayne Public School,Hornepayne,50.0,49.2167,-84.78,,100.0,,,,,,,,,,,
B28010,Algoma DSB,278270,Isabel Fletcher Public School,Sault Ste. Marie,208.0,46.551140000000004,-84.37886999999999,,100.0,,24.5,,29.0,32.0,10.0,78.0,61.0,28.0,17.53,6.01
B28010,Algoma DSB,302350,Kiwedin Public School,Sault Ste. Marie,141.0,46.54201,-84.33511,,100.0,,20.6,,36.0,27.0,27.0,93.0,80.0,27.0,22.28,7.58
B28010,Algoma DSB,18309,Korah Intermediate School,Sault Ste. Marie,74.0,46.54246743,-84.38212582,,100.0,,17.6,,,,,,,,15.61,
B28010,Algoma DSB,368490,Missarenda Consolidated Public School,Huron Shores,,48.316666999999995,-84.083333,,,,,,,,,,,,,
B28010,Algoma DSB,195200,Mountain View Public School,Sault Ste. Marie,195.0,46.77124,-84.36156,,100.0,,14.9,,50.0,19.0,31.0,60.0,28.0,20.0,24.44,
B28010,Algoma DSB,410870,Northern Heights Public School,Sault Ste. Marie,203.0,46.53072,-84.32895,,100.0,,17.2,,59.0,59.0,76.0,48.0,29.0,19.0,25.34,
B28010,Algoma DSB,434922,Parkland Public School,Sault Ste. Marie,189.0,46.514559999999996,-84.25818000000001,,100.0,,19.0,,69.0,62.0,62.0,65.0,60.0,20.0,17.51,15.33
B28010,Algoma DSB,442054,Pinewood Public School,Sault Ste. Marie,229.0,46.52417,-84.24768,4.8,100.0,,10.5,,61.0,70.0,48.0,59.0,55.0,18.0,16.73,11.63
B28010,Algoma DSB,462616,Queen Elizabeth Public School,Sault Ste. Marie,241.0,46.50658,-84.30414,,100.0,,16.2,,69.0,84.0,69.0,72.0,72.0,36.0,21.61,7.51
B28010,Algoma DSB,468339,R M Moore Public School,Sault Ste. Marie,238.0,46.521770000000004,-84.44407,,100.0,,10.5,,71.0,62.0,71.0,72.0,72.0,67.0,5.95,13.53
B28010,Algoma DSB,485497,River View Public School,Sault Ste. Marie,190.0,46.517509999999994,-84.29898,,100.0,,21.6,,56.0,72.0,67.0,68.0,68.0,39.0,22.55,16.59
B28010,Algoma DSB,677523,Rockhaven School for Exceptional,Elliot Lake,23.0,46.20975,-82.54075999999999,,100.0,,100.0,,,,,,,,,
B28010,Algoma DSB,515396,Sir James Dunn Public School,Michipicoten,138.0,47.99693,-84.77275999999999,,100.0,,15.2,,60.0,50.0,40.0,47.0,63.0,42.0,18.61,
B28010,Algoma DSB,530603,St Joseph Island Central Public School,St. Joseph,100.0,46.28922,-84.03465,,100.0,,14.0,,80.0,60.0,80.0,75.0,75.0,50.0,,
B28010,Algoma DSB,672610,Superior Heights Community Education,Sault Ste. Marie,24.0,46.53951075,-84.33491723,,100.0,,100.0,,,,,,,,,
B28010,Algoma DSB,106913,Superior Heights Intermediate School,Sault Ste. Marie,104.0,46.53951075,-84.33491723,,99.0,,24.0,,,,,,,,20.89,
B28010,Algoma DSB,548413,Tarentorus Public School,Sault Ste. Marie,244.0,46.54554,-84.30847,,100.0,,14.8,,96.0,100.0,81.0,78.0,83.0,61.0,13.95,24.04
B28010,Algoma DSB,551660,Thessalon Public School,Thessalon,170.0,46.2604,-83.55897,,100.0,,18.2,,29.0,14.0,25.0,64.0,58.0,42.0,16.04,
B28010,Algoma DSB,144872,White Pines Intermediate School,Sault Ste. Marie,54.0,46.52799174,-84.25992983,,100.0,,37.0,,,,,,,,24.21,
B67202,Algonquin and Lakeshore CDSB,765031,Archbishop O'Sullivan Catholic School,Kingston,250.0,44.2496,-76.58494,4.4,99.6,,22.8,,91.0,100.0,71.0,78.0,88.0,47.0,9.2,23.51
B67202,Algonquin and Lakeshore CDSB,827681,Cathedrale Catholic School,Kingston,281.0,44.23167,-76.49098000000001,4.3,98.2,,3.6,,95.0,82.0,76.0,92.0,92.0,69.0,13.63,19.34
B67202,Algonquin and Lakeshore CDSB,708011,Georges Vanier Catholic School,Belleville,315.0,44.18404,-77.40125,3.5,100.0,,13.0,,66.0,66.0,53.0,78.0,87.0,48.0,15.8,12.42
B67202,Algonquin and Lakeshore CDSB,716669,Holy Family Catholic School,Kingston,199.0,44.26093,-76.4899,,99.0,,23.6,,27.0,23.0,9.0,70.0,70.0,55.0,36.09,
B67202,Algonquin and Lakeshore CDSB,717703,Holy Name Catholic School,Kingston,123.0,44.30068,-76.42419,,100.0,,17.9,,100.0,90.0,90.0,85.0,85.0,54.0,9.85,14.82
B67202,Algonquin and Lakeshore CDSB,865257,Holy Name of Mary Catholic School,Tyendinaga,87.0,44.22671,-77.13684,,100.0,,12.6,,,,,,,,20.36,
B67202,Algonquin and Lakeshore CDSB,719919,Holy Rosary Catholic School,Belleville,213.0,44.17815,-77.38449,,100.0,,12.7,,50.0,67.0,50.0,62.0,53.0,28.0,16.48,7.96
B67202,Algonquin and Lakeshore CDSB,735523,J J O'Neill Catholic School,Greater Napanee,294.0,44.247009999999996,-76.9636,,99.7,,22.1,,46.0,67.0,50.0,77.0,80.0,33.0,11.46,4.67
B67202,Algonquin and Lakeshore CDSB,724068,John XXIII Catholic School,Kingston,239.0,44.24649,-76.60394000000001,,100.0,,15.9,,84.0,84.0,89.0,100.0,96.0,72.0,8.47,20.38
B67202,Algonquin and Lakeshore CDSB,773875,Mother Teresa Catholic School,Kingston,343.0,44.25586,-76.59818,,99.1,,5.8,,87.0,93.0,67.0,97.0,97.0,51.0,5.34,43.07
B67202,Algonquin and Lakeshore CDSB,742279,Our Lady of Fatima Catholic School,Belleville,162.0,44.16552,-77.40142,6.8,99.4,,20.4,,73.0,73.0,41.0,76.0,90.0,43.0,19.23,12.01
B67202,Algonquin and Lakeshore CDSB,746568,Our Lady of Lourdes Catholic School,Kingston,299.0,44.22013,-76.57084,,100.0,,20.7,,90.0,90.0,83.0,79.0,79.0,43.0,7.49,30.59
B67202,Algonquin and Lakeshore CDSB,746690,Our Lady of Mercy Catholic School,Bancroft,170.0,45.05601,-77.8624,,100.0,,20.6,,,,,79.0,86.0,50.0,22.66,
B67202,Algonquin and Lakeshore CDSB,706264,Our Lady of Mount Carmel Catholic School,Loyalist,459.0,44.2236,-76.64065,,99.6,,11.8,,66.0,75.0,77.0,71.0,74.0,23.0,8.23,11.42
B67202,Algonquin and Lakeshore CDSB,756830,Sacred Heart Catholic School,Marmora and Lake,147.0,44.48104,-77.67865,,100.0,,18.4,,77.0,77.0,62.0,62.0,62.0,12.0,23.34,
B67202,Algonquin and Lakeshore CDSB,764370,Sacred Heart Catholic School,Quinte West,138.0,44.17001,-77.59640999999999,,100.0,,10.9,,75.0,83.0,33.0,50.0,50.0,8.0,9.93,9.94
B67202,Algonquin and Lakeshore CDSB,868370,Sacred Heart Catholic School,Frontenac Islands,53.0,44.19003,-76.44197,,100.0,,,,,,,,,,,
B67202,Algonquin and Lakeshore CDSB,781142,St Carthagh Catholic School,Tweed,153.0,44.47874,-77.31695,,100.0,,13.7,,73.0,60.0,60.0,,,,15.03,
B67202,Algonquin and Lakeshore CDSB,796220,St Gregory Catholic School,Prince Edward County,269.0,44.008790000000005,-77.13261999999999,,99.3,,,,48.0,74.0,52.0,92.0,100.0,72.0,17.13,
B67202,Algonquin and Lakeshore CDSB,799556,St James Major,Essex,46.0,44.77277,-76.68831,,100.0,,,,,,,,,,,
B67202,Algonquin and Lakeshore CDSB,815330,St Joseph Catholic School,Belleville,321.0,44.16896,-77.35838000000001,,99.4,,10.3,,68.0,59.0,53.0,93.0,90.0,67.0,13.73,18.88
B67202,Algonquin and Lakeshore CDSB,695602,St Joseph School,Kingston,,44.233290000000004,-76.50685,,,,,,,,,,,,,
B67202,Algonquin and Lakeshore CDSB,830984,St Marguerite Bourgeoys Catholic School,Kingston,436.0,44.25374,-76.55339000000001,,100.0,,17.7,,81.0,81.0,64.0,89.0,78.0,49.0,11.24,28.75
B67202,Algonquin and Lakeshore CDSB,823570,St Martha Catholic School,Kingston,407.0,44.26573,-76.4467,4.9,96.6,,17.4,,76.0,71.0,39.0,81.0,81.0,55.0,3.99,55.53
B67202,Algonquin and Lakeshore CDSB,824330,St Martin of Tours Catholic School,Timmins,22.0,45.49137,-78.23608,,100.0,,,,,,,,,,,
B67202,Algonquin and Lakeshore CDSB,831840,St Mary Catholic School,Quinte West,440.0,44.10885,-77.5662,,99.3,,10.7,,75.0,62.0,49.0,84.0,88.0,26.0,15.34,3.77
B67202,Algonquin and Lakeshore CDSB,865125,St Mary Catholic School,Tyendinaga,83.0,44.3069,-77.22173000000001,,100.0,,,,,,,91.0,100.0,45.0,,
B67202,Algonquin and Lakeshore CDSB,834688,St Michael Catholic School,Belleville,597.0,44.16771,-77.38212,2.8,99.7,,4.5,,61.0,56.0,39.0,77.0,67.0,23.0,18.77,10.2
B67202,Algonquin and Lakeshore CDSB,764248,St Patrick Catholic School,Stone Mills,23.0,44.48645,-77.0527,,91.3,,,,,,,,,,,
B67202,Algonquin and Lakeshore CDSB,838861,St Patrick Catholic School,Kingston,50.0,44.240809999999996,-76.49021,,100.0,,42.0,,,,,,,,33.99,
B67202,Algonquin and Lakeshore CDSB,841773,St Patrick Catholic School,South Frontenac,232.0,44.39978,-76.67004,,100.0,,12.1,,100.0,97.0,90.0,72.0,72.0,44.0,10.04,5.87
B67202,Algonquin and Lakeshore CDSB,706744,St Paul Catholic Elementary School,Quinte West,136.0,44.0943,-77.59737,,98.5,,27.2,,,,,,,,12.58,
B67202,Algonquin and Lakeshore CDSB,842761,St Paul Catholic School,Kingston,166.0,44.249629999999996,-76.52414,,100.0,,20.5,,86.0,100.0,86.0,86.0,93.0,64.0,15.98,
B67202,Algonquin and Lakeshore CDSB,844845,St Peter Catholic School,Quinte West,73.0,44.2473,-76.50063,,100.0,,17.8,,,,,,,,25.87,
B67202,Algonquin and Lakeshore CDSB,845493,St Peter Catholic School,Kingston,265.0,44.09989,-77.57898,,99.2,,12.8,,61.0,75.0,49.0,85.0,80.0,55.0,12.56,10.76
B67202,Algonquin and Lakeshore CDSB,856150,St Thomas More Catholic School,Kingston,233.0,44.23513,-76.524,12.4,98.3,6.4,23.2,,79.0,79.0,74.0,96.0,96.0,75.0,22.07,12.72
B67202,Algonquin and Lakeshore CDSB,756642,St. Francis of Assisi Catholic School,Kingston,,44.2608581,-76.490657,,,,,,,,,,,,,
B66010,Avon Maitland DSB,19313,Anne Hathaway Public School,Stratford,390.0,43.3579,-80.97202,4.1,99.2,,9.2,3.1,72.0,74.0,61.0,86.0,75.0,59.0,16.65,5.84
B66010,Avon Maitland DSB,28673,Avon Public School,Stratford,304.0,43.37444,-80.99786,,100.0,,8.6,,82.0,76.0,66.0,82.0,75.0,71.0,10.04,27.43
B66010,Avon Maitland DSB,39306,Bedford Public School,Stratford,425.0,43.3824,-80.97224,3.8,100.0,,9.4,3.8,81.0,68.0,47.0,83.0,85.0,49.0,6.35,33.59
B66010,Avon Maitland DSB,272319,Bluewater Coast Elementary Public School,Bluewater,136.0,43.431459999999994,-81.50147,,100.0,,9.6,,75.0,85.0,70.0,81.0,86.0,52.0,,
B66010,Avon Maitland DSB,66699,Brookside Public School,Ashfield-Colborne-Wawanosh,190.0,43.89914,-81.57088,,100.0,,13.7,,50.0,64.0,36.0,74.0,61.0,26.0,13.31,
B66010,Avon Maitland DSB,93718,Central Perth Elementary School,Perth East,217.0,43.46305,-81.02656999999999,,100.0,,7.4,,56.0,56.0,48.0,80.0,60.0,12.0,8.42,
B66010,Avon Maitland DSB,112917,Clinton Public School,Central Huron,297.0,43.61488,-81.53197,,100.0,,19.2,4.0,59.0,47.0,50.0,76.0,65.0,57.0,13.12,5.21
B66010,Avon Maitland DSB,145912,Downie Central Public School,Perth South,271.0,43.32748,-81.07746999999999,,100.0,,14.0,,81.0,84.0,65.0,81.0,84.0,61.0,7.85,15.38
B66010,Avon Maitland DSB,175170,Elma Township Public School,North Perth,385.0,43.656290000000006,-81.02585,9.1,99.7,,10.4,,54.0,57.0,57.0,86.0,55.0,41.0,8.16,8.46
B66010,Avon Maitland DSB,190527,Exeter Elementary School,South Huron,326.0,43.351240000000004,-81.47758,,99.4,,9.8,,79.0,79.0,76.0,73.0,71.0,36.0,13.42,12.81
B66010,Avon Maitland DSB,181908,F. E. Madill Elementary,North Huron,156.0,43.8824,-81.30637,,100.0,,24.4,,,,,,,,10.32,
B66010,Avon Maitland DSB,450242,GDCI - Elementary,Goderich,130.0,43.73417,-81.71122,,100.0,,33.1,8.5,,,,,,,11.14,9.21
B66010,Avon Maitland DSB,478133,Goderich Public School,Goderich,503.0,43.73468,-81.71638,,99.4,,19.1,4.8,76.0,81.0,76.0,92.0,87.0,45.0,12.5,9.79
B66010,Avon Maitland DSB,242527,Hamlet Public School,Stratford,194.0,43.3645,-80.99094000000001,,98.5,,11.3,,61.0,65.0,57.0,83.0,58.0,50.0,14.56,
B66010,Avon Maitland DSB,268003,Howick Central School,Howick,341.0,43.883720000000004,-81.054,,100.0,,12.6,,78.0,85.0,70.0,70.0,75.0,35.0,12.29,
B66010,Avon Maitland DSB,268640,Hullett Central Public School,Central Huron,282.0,43.697590000000005,-81.47749,,100.0,,14.9,,65.0,90.0,81.0,80.0,70.0,13.0,9.29,5.72
B66010,Avon Maitland DSB,273694,Huron Centennial Public School,Bluewater,327.0,43.50721878,-81.51545373,,100.0,,10.4,,40.0,64.0,52.0,75.0,82.0,29.0,11.9,13.15
B66010,Avon Maitland DSB,163619,Listowel Eastdale Public School,North Perth,252.0,43.72679,-80.94957,4.0,100.0,,4.8,,67.0,56.0,61.0,100.0,88.0,85.0,7.37,9.27
B66010,Avon Maitland DSB,285535,Little Falls Public School Public School,St. Marys,498.0,43.25111,-81.13186999999999,,99.6,,8.4,,86.0,82.0,77.0,82.0,78.0,59.0,7.42,16.02
B66010,Avon Maitland DSB,517103,Maitland River Elementary,North Huron,484.0,43.88225,-81.30329,,99.8,,6.0,,62.0,47.0,42.0,76.0,63.0,31.0,9.1,4.59
B66010,Avon Maitland DSB,366021,Milverton Public School,Perth East,275.0,43.56293,-80.91495,16.0,100.0,,11.3,,76.0,94.0,74.0,73.0,69.0,58.0,13.05,3.89
B66010,Avon Maitland DSB,135064,Mitchell District Elementary,West Perth,137.0,43.47518,-81.18946,,100.0,,11.7,,,,,,,,8.29,10.31
B66010,Avon Maitland DSB,372781,Mornington Central Public School,Perth East,116.0,43.61469,-80.88458,75.9,100.0,,,,5.0,11.0,5.0,40.0,50.0,25.0,14.76,
B66010,Avon Maitland DSB,406040,North Easthope Public School,Perth East,151.0,43.42512,-80.86395999999999,,99.3,,7.3,,83.0,94.0,78.0,94.0,67.0,56.0,7.95,17.22
B66010,Avon Maitland DSB,459441,North Perth Elementary School,North Perth,,43.74007,-80.96438,,,,,,78.0,80.0,69.0,82.0,78.0,55.0,,
B66010,Avon Maitland DSB,578519,North Woods Elementary Public School,Huron East,161.0,43.71417,-81.14504000000001,,99.4,,11.2,,75.0,67.0,58.0,93.0,93.0,47.0,11.84,
B66010,Avon Maitland DSB,490040,Romeo Public School,Stratford,145.0,43.36905,-80.97791,,100.0,,14.5,,45.0,45.0,15.0,69.0,77.0,31.0,18.75,
B66010,Avon Maitland DSB,504475,Seaforth Public School,Huron East,295.0,43.554809999999996,-81.38885,,100.0,,10.8,,52.0,55.0,48.0,82.0,82.0,50.0,8.19,13.43
B66010,Avon Maitland DSB,507725,Shakespeare Public School,Stratford,186.0,43.36207,-80.9829,,100.0,,14.5,,63.0,74.0,56.0,63.0,58.0,26.0,14.68,
B66010,Avon Maitland DSB,469900,South Huron District - Elementary,South Huron,154.0,43.34944263,-81.47755067,,100.0,,30.5,,,,,,,,13.58,10.63
B66010,Avon Maitland DSB,523267,South Perth Centennial Public School,Perth South,159.0,43.26794,-81.19295,,100.0,,11.3,,81.0,67.0,62.0,73.0,87.0,67.0,7.71,24.2
B66010,Avon Maitland DSB,528650,Sprucedale Public School,Perth East,213.0,43.36809,-80.83939000000001,,100.0,,8.9,,60.0,65.0,60.0,80.0,80.0,10.0,8.47,11.51
B66010,Avon Maitland DSB,100438,St. Marys DCVI - Elementary,St. Marys,133.0,43.25704819,-81.13388709,,99.2,,26.3,,,,,,,,,14.17
B66010,Avon Maitland DSB,535508,Stephen Central Public School,South Huron,193.0,43.29587166,-81.59891317,,99.5,,11.9,,71.0,92.0,75.0,68.0,80.0,40.0,19.97,6.05
B66010,Avon Maitland DSB,531073,Stratford Central Public School,Stratford,302.0,43.37092,-80.98646,,99.3,,21.2,9.3,,,,,,,11.47,16.75
B66010,Avon Maitland DSB,531090,Stratford Northwestern Public School,Stratford,167.0,43.38432,-80.99311999999999,,100.0,,29.3,,,,,,,,13.87,14.19
B66010,Avon Maitland DSB,566667,Upper Thames Elementary School,West Perth,571.0,43.4736,-81.18566,,100.0,,5.8,,80.0,73.0,63.0,82.0,68.0,55.0,8.28,10.25
B80012,Bloorview SA,417556,Bloorview School Authority,Toronto,,43.718807318,-79.372533949,,,,,,,,,,,,,
B66001,Bluewater DSB,10472,Alexandra Community School,Owen Sound,201.0,44.57298,-80.92942,5.0,100.0,,10.4,,42.0,54.0,23.0,64.0,64.0,23.0,19.85,
B66001,Bluewater DSB,11606,Amabel-Sauble Community School,The South Bruce Peninsula,136.0,44.650459999999995,-81.25684,,99.3,,21.3,,47.0,59.0,35.0,78.0,78.0,17.0,15.08,18.1
B66001,Bluewater DSB,22322,Arran Tara Elementary School,Arran-Elderslie,261.0,44.48145,-81.15254,,100.0,,11.1,,91.0,88.0,79.0,84.0,89.0,63.0,12.92,18.23
B66001,Bluewater DSB,36994,Bayview Public School,Owen Sound,246.0,44.561440000000005,-80.93493000000001,,100.0,,24.0,,67.0,75.0,50.0,71.0,67.0,42.0,18.75,4.8
B66001,Bluewater DSB,552585,Beaver Valley Community School,The Blue Mountains,405.0,44.55342,-80.46212,,100.0,,15.3,,87.0,82.0,72.0,95.0,84.0,55.0,11.71,13.66
B66001,Bluewater DSB,340804,Beavercrest Community School,Grey Highlands,191.0,44.32033,-80.64519,,100.0,,21.5,,69.0,69.0,62.0,65.0,85.0,20.0,13.93,5.78
B66001,Bluewater DSB,67709,Bruce Peninsula District School,Northern Bruce Peninsula,176.0,44.984790000000004,-81.25194,,100.0,,18.8,,69.0,88.0,69.0,93.0,63.0,19.0,11.35,
B66001,Bluewater DSB,169200,Chesley District Community School,Arran-Elderslie,337.0,44.30696,-81.09756,,100.0,,12.5,,60.0,74.0,52.0,62.0,44.0,34.0,15.6,2.99
B66001,Bluewater DSB,135143,Dawnview Public School,Hanover,190.0,44.14548,-81.02091,,100.0,,8.4,,56.0,48.0,41.0,69.0,75.0,31.0,11.51,11.59
B66001,Bluewater DSB,151165,Dufferin Elementary School,Owen Sound,210.0,44.56807,-80.94752,,100.0,,10.0,,60.0,33.0,40.0,71.0,59.0,35.0,20.35,10.41
B66001,Bluewater DSB,458554,Dundalk & Proton Community School,Southgate,219.0,44.16499,-80.38971,19.2,100.0,,5.9,,71.0,62.0,54.0,,,,16.73,
B66001,Bluewater DSB,331307,East Ridge Community School,Owen Sound,,44.56713,-80.91613000000001,,,,,,,,,,,,,
B66001,Bluewater DSB,167649,Egremont Community School,Southgate,206.0,44.06142,-80.75958,,100.0,,10.7,,68.0,68.0,45.0,92.0,77.0,46.0,12.24,9.94
B66001,Bluewater DSB,293776,Elgin Market Public School,Kincardine,181.0,44.164840000000005,-81.64350999999999,,100.0,,,,62.0,65.0,54.0,85.0,92.0,54.0,8.41,26.09
B66001,Bluewater DSB,524239,G C Huston Public School,Saugeen Shores,229.0,44.49686,-81.36793,,100.0,,20.1,,64.0,62.0,41.0,65.0,65.0,13.0,22.97,10.5
B66001,Bluewater DSB,180789,Georgian Bay Community School,Meaford,,44.60205,-80.58445999999999,,,,,,,,,68.0,58.0,25.0,,
B66001,Bluewater DSB,281131,Hanover Heights Community School,Hanover,387.0,44.156259999999996,-81.02229,,100.0,,19.9,,54.0,46.0,57.0,52.0,51.0,31.0,12.08,8.11
B66001,Bluewater DSB,253316,Hepworth Central Public School,The South Bruce Peninsula,281.0,44.63228,-81.13625,,100.0,,9.6,,41.0,34.0,55.0,89.0,63.0,56.0,19.51,8.51
B66001,Bluewater DSB,152820,Highpoint Community Elementary School,Southgate,213.0,44.16386,-80.39858000000001,12.2,100.0,,21.6,,,,,65.0,65.0,52.0,16.95,
B66001,Bluewater DSB,257168,Hillcrest Central School,South Bruce,102.0,43.99987,-81.29025,,100.0,,22.5,,,,,80.0,70.0,50.0,11.27,
B66001,Bluewater DSB,257869,Hillcrest Elementary School,Owen Sound,463.0,44.562509999999996,-80.9505,,100.0,,25.3,,69.0,77.0,72.0,39.0,32.0,13.0,15.14,7.24
B66001,Bluewater DSB,262935,Holland-Chatsworth Central School,Chatsworth,247.0,44.41398,-80.82869000000001,,100.0,,13.0,,83.0,61.0,78.0,69.0,66.0,44.0,13.73,18.79
B66001,Bluewater DSB,273775,Huron Heights Public School,Kincardine,341.0,44.16912,-81.62007,5.0,100.0,,27.9,,,,,81.0,81.0,39.0,9.48,18.04
B66001,Bluewater DSB,7681,John Diefenbaker Senior School,Hanover,164.0,44.14843758,-81.03170919,,100.0,,31.1,,,,,,,,10.44,10.1
B66001,Bluewater DSB,291030,Keppel-Sarawak Elementary School,Owen Sound,337.0,44.58898,-80.9544,,100.0,,9.5,,70.0,63.0,73.0,82.0,74.0,44.0,11.77,5.69
B66001,Bluewater DSB,293750,Kincardine Township-Tiverton Public School,Kincardine,303.0,44.18603,-81.60679,5.9,100.0,,6.3,,63.0,63.0,57.0,,,,9.54,17.02
B66001,Bluewater DSB,323900,Lucknow Central Public School,Huron-Kinloss,134.0,43.95731,-81.50915,,100.0,,21.6,,,,,92.0,77.0,38.0,14.52,
B66001,Bluewater DSB,198978,Macphail Memorial Elementary School,Grey Highlands,504.0,44.2585,-80.5487,6.9,100.0,,12.1,,64.0,51.0,38.0,80.0,61.0,45.0,15.81,8.17
B66001,Bluewater DSB,364290,Mildmay-Carrick Central School,South Bruce,119.0,44.0374,-81.11168,,100.0,,21.8,,82.0,65.0,59.0,,,,9.78,
B66001,Bluewater DSB,401129,Normanby Community School,West Grey,193.0,44.05811,-80.92759000000001,,100.0,,20.2,,100.0,100.0,77.0,92.0,85.0,31.0,12.91,13.07
B66001,Bluewater DSB,403741,Northport Elementary School,Saugeen Shores,407.0,44.44679,-81.38365,4.9,100.0,,12.0,,75.0,79.0,82.0,89.0,84.0,65.0,10.43,35.27
B66001,Bluewater DSB,93939,Osprey Central School,Grey Highlands,324.0,44.31534,-80.37003,42.3,100.0,,12.0,,47.0,65.0,53.0,76.0,83.0,41.0,15.76,4.51
B66001,Bluewater DSB,431028,Paisley Central School,Arran-Elderslie,138.0,44.29813,-81.27359,,100.0,,14.5,,57.0,76.0,43.0,88.0,71.0,18.0,14.3,8.12
B66001,Bluewater DSB,605743,Peninsula Shores District School,The South Bruce Peninsula,358.0,44.74086,-81.15065,,99.7,,20.9,,74.0,68.0,58.0,75.0,78.0,25.0,23.28,10.9
B66001,Bluewater DSB,450910,Port Elgin-Saugeen Central School,Saugeen Shores,592.0,44.43482,-81.39415,4.7,100.0,,14.2,,72.0,68.0,49.0,86.0,78.0,45.0,14.03,17.85
B66001,Bluewater DSB,484970,Ripley-Huron Community - Junior Campus School,Arran-Elderslie,264.0,44.073159999999994,-81.58229,,99.6,,12.5,,86.0,86.0,71.0,80.0,85.0,40.0,7.8,9.79
B66001,Bluewater DSB,155683,Spruce Ridge Community School,West Grey,413.0,44.174440000000004,-80.8128,,100.0,,16.7,,64.0,62.0,58.0,76.0,67.0,17.0,15.61,11.93
B66001,Bluewater DSB,529826,St Edmunds Public School,Northern Bruce Peninsula,34.0,45.22907,-81.6623,,100.0,,,,,,,,,,,
B66001,Bluewater DSB,531146,St Vincent-Euphrasia Elementary School,Meaford,308.0,44.59473,-80.58277,,100.0,,9.4,,67.0,59.0,59.0,,,,12.75,5.93
B66001,Bluewater DSB,540200,Sullivan Community School,Chatsworth,144.0,44.40274,-80.9897,,100.0,,15.3,,68.0,53.0,47.0,79.0,79.0,43.0,13.87,10.11
B66001,Bluewater DSB,544892,Sydenham Community School,Owen Sound,493.0,44.56706,-80.92105,,99.8,,7.9,,62.0,64.0,69.0,83.0,67.0,54.0,13.27,6.32
