Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Acheivement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Acheivement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some Unviersity Education,Percentage of JK-Grade 3 Classes With 20 Students or Fewer,Percentage of JK-Grade 3 Classes With 23 Students or Fewer,Extract Date
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),900869,Chapleau High School,Public,Not applicable,Secondary,English,Pre-Grade 9-12,NA,880,20 Teak,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1452,705-864-2367,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=23,http://www.adsb.on.ca, 74 ,47.84273,-83.4083,SP,100,SP,SP,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,N/R,NA,60%,-28,17.27,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),101214,Chapleau Public School,Public,Not applicable,Elementary,English,JK-8,NA,Box 700,24 Pine,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1170,705-864-1606,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=24,http://www.adsb.on.ca, 108 ,47.84496,-83.40333,SP,99.1,NA,SP,13,NA,77%,NA,69%,NA,46%,NA,43%,NA,36%,NA,14%,NA,NA,NA,NA,NA,NA,NA,16.64,SP,0.5,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),161276,East View Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,75 Arizona,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A4L9,705-945-7115,705-945-7400,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=26,http://www.adsb.on.ca, 303 ,46.51668,-84.27996,SP,100,NA,SP,13.2,NA,59%,NA,46%,NA,51%,NA,58%,NA,58%,NA,27%,NA,NA,NA,NA,NA,NA,NA,30.46,16.92,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),165042,Echo Bay Central Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,290 Church,Macdonald Meredith et al,Echo Bay,Ontario,P0S1C0,705-248-2271,705-248-2045,http://echobay.adsb.on.ca/,http://www.adsb.on.ca, 179 ,46.48567,-84.0637,SP,100,NA,NA,12.8,NA,83%,NA,74%,NA,70%,NA,64%,NA,64%,NA,43%,NA,NA,NA,NA,NA,NA,NA,11.69,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),908010,Elliot Lake Secondary School,Public,Not applicable,Secondary,English,Pre-Grade 9-12,NA,NA,303 Mississauga,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-7162,705-848-0103,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=29,http://www.adsb.on.ca, 325 ,46.37627,-82.66108,SP,99.1,SP,SP,26.2,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80%,-1,29%,-32,75%,-5,26.54,3.36,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),186783,Esten Park Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,115 Hergott,Elliot Lake,Elliot Lake,Ontario,P5A3B4,705-848-2601,705-848-9406,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=30,http://www.adsb.on.ca, 143 ,46.37191,-82.61981,SP,95.8,SP,SP,7.7,NA,N/R,NA,N/R,NA,N/R,NA,90%,NA,75%,NA,30%,NA,NA,NA,NA,NA,NA,NA,23.54,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),202614,Francis H Clergue Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,80 Weldon,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B3C6,705-945-7136,705-945-7144,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=32,http://www.adsb.on.ca, 617 ,46.51862,-84.30964,SP,99.8,NA,NA,3.4,SP,N/D,NA,N/D,NA,59%,NA,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,17.4,12.58,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),227331,Grand View Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,161 Denwood,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5R4,705-945-7148,705-945-7403,http://grandview.adsb.on.ca/Home.html,http://www.adsb.on.ca, 242 ,46.50955,-84.2659,NA,100,NA,SP,12.8,SP,81%,NA,86%,NA,81%,NA,80%,NA,67%,NA,47%,NA,NA,NA,NA,NA,NA,NA,9.64,19.18,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),230561,Greenwood Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,8 Fourth,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K8,705-945-7118,705-945-7402,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=34,http://www.adsb.on.ca, 206 ,46.56732,-84.35278,SP,100,NA,NA,18,NA,50%,NA,81%,NA,31%,NA,65%,NA,65%,NA,38%,NA,NA,NA,NA,NA,NA,NA,13.45,9.16,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),237191,H M Robbins Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,83 East Balfour,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C1X4,705-945-7119,705-945-7399,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=35,http://www.adsb.on.ca, 256 ,46.5328,-84.38951,SP,100,NA,SP,23.4,SP,58%,NA,63%,NA,37%,NA,79%,NA,50%,NA,38%,NA,NA,NA,NA,NA,NA,NA,19.49,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),917370,Hornepayne High School,Public,Not applicable,Secondary,English,9-12,NA,640,162 Forth,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2476,807-868-2126,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=36,http://www.adsb.on.ca, 59 ,49.21525,-84.77894,SP,94.9,NA,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,N/R,NA,58%,-4,SP,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),264750,Hornepayne Public School,Public,Not applicable,Elementary,English,JK-8,NA,340,162 Fourth,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2094,807-868-3365,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=37,http://www.adsb.on.ca, 50 ,49.2167,-84.78,NA,100,NA,NA,SP,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),278270,Isabel Fletcher Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,599 Third,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7120,705-945-7204,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=39,http://www.adsb.on.ca, 208 ,46.55114,-84.37887,SP,100,NA,NA,24.5,NA,29%,NA,32%,NA,10%,NA,78%,NA,61%,NA,28%,NA,NA,NA,NA,NA,NA,NA,17.53,6.01,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),302350,Kiwedin Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,735 North,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C4,705-945-7124,705-945-7208,http://kiwedin.adsb.on.ca/,http://www.adsb.on.ca, 141 ,46.54201,-84.33511,NA,100,NA,SP,20.6,NA,36%,NA,27%,NA,27%,NA,93%,NA,80%,NA,27%,NA,NA,NA,NA,NA,NA,NA,22.28,7.58,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),920533,Korah Collegiate and Vocational School,Public,Not applicable,Secondary,English,Pre-Grade 9-12,NA,NA,636 Goulais,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,http://korah.adsb.on.ca/,http://www.adsb.on.ca, 778 ,46.54269,-84.38155,2.3,99.7,SP,SP,19.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83%,2,63%,10,74%,-7,18.77,6.2,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),018309,Korah Intermediate School,Public,Not applicable,Elementary,English,7-8,NA,NA,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,NA,NA,http://www.adsb.on.ca, 74 ,46.54246743,-84.38212582,NA,100,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),926086,Michipicoten High School,Public,Not applicable,Secondary,English,9-12,NA,560,86 Magpie,Michipicoten,Wawa,Ontario,P0S1K0,705-856-4464,705-856-1948,http://mhs.adsb.on.ca/,http://www.adsb.on.ca, 104 ,47.99317,-84.77582,SP,100,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94%,NA,N/R,NA,56%,-10,19.12,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),368490,Missarenda Consolidated Public School,Public,Not applicable,Elementary,English,JK-8,NA,Box 62,NA,Huron Shores,Missanabie,Ontario,P0M2H0,705-234-2820,705-234-2567,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=91,http://www.adsb.on.ca, NA ,48.316667,-84.083333,NA,SP,NA,NA,NA,NA,N/R,NA,N/R,NA,N/R,NA,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,SP,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),948426,Missarenda Secondary School,Public,Not applicable,Secondary,English,9-12,NA,PO Box 62,NA,Timmins,Missanabie,Ontario,P0M2H0,705-234-2820,NA,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=92,http://www.adsb.on.ca, NA ,48.31165,-84.081983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),195200,Mountain View Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,Mahler,Sault Ste. Marie,Goulais River,Ontario,P0S1E0,705-649-2130,705-649-0786,http://mountainview.adsb.on.ca/,http://www.adsb.on.ca, 195 ,46.77124,-84.36156,SP,100,NA,NA,14.9,NA,50%,NA,19%,NA,31%,NA,60%,NA,28%,NA,20%,NA,NA,NA,NA,NA,NA,NA,24.44,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891150,North Shore Adolescent Education School,Public,Not applicable,Secondary,English,9-12,NA,NA,303 Mississauga,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-1088,705-848-5634,NA,http://www.adsb.on.ca, 22 ,46.37987,-82.65645,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,SP,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),410870,Northern Heights Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,210 Grand,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4S8,705-945-7128,705-945-7319,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=50,http://www.adsb.on.ca, 203 ,46.53072,-84.32895,SP,100,SP,SP,17.2,NA,59%,NA,59%,NA,76%,NA,48%,NA,29%,NA,19%,NA,NA,NA,NA,NA,NA,NA,25.34,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),434922,Parkland Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,54 Amber,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5G1,705-945-7129,705-945-7131,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=52,http://www.adsb.on.ca, 189 ,46.51456,-84.25818,SP,100,NA,NA,19,NA,69%,NA,62%,NA,62%,NA,65%,NA,60%,NA,20%,NA,NA,NA,NA,NA,NA,NA,17.51,15.33,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),442054,Pinewood Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,3924 Queen,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-7133,705-945-7225,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=53,http://www.adsb.on.ca, 229 ,46.52417,-84.24768,4.8,100,SP,SP,10.5,NA,61%,NA,70%,NA,48%,NA,59%,NA,55%,NA,18%,NA,NA,NA,NA,NA,NA,NA,16.73,11.63,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),462616,Queen Elizabeth Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,139 Elizabeth,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3Z5,705-945-7132,705-945-7288,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=57,http://www.adsb.on.ca, 241 ,46.50658,-84.30414,SP,100,SP,SP,16.2,SP,69%,NA,84%,NA,69%,NA,72%,NA,72%,NA,36%,NA,NA,NA,NA,NA,NA,NA,21.61,7.51,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),468339,R M Moore Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,1272 Base,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7135,705-945-7401,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=58,http://www.adsb.on.ca, 238 ,46.52177,-84.44407,SP,100,NA,NA,10.5,NA,71%,NA,62%,NA,71%,NA,72%,NA,72%,NA,67%,NA,NA,NA,NA,NA,NA,NA,5.95,13.53,0.75,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),485497,River View Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,51 Wireless,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B1L4,705-945-7134,705-945-7339,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=59,http://www.adsb.on.ca, 190 ,46.51751,-84.29898,SP,100,NA,NA,21.6,NA,56%,NA,72%,NA,67%,NA,68%,NA,68%,NA,39%,NA,NA,NA,NA,NA,NA,NA,22.55,16.59,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),677523,Rockhaven School for Exceptional,Public,Not applicable,Elementary,English,JK-8,NA,Box 8,1459 Riverview,Elliot Lake,Serpent River,Ontario,P0P1V0,705-844-2168,705-844-2396,http://rockhaven.adsb.on.ca/,http://www.adsb.on.ca, 23 ,46.20975,-82.54076,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),515396,Sir James Dunn Public School,Public,Not applicable,Elementary,English,JK-8,NA,Box 560,36 McKinley,Michipicoten,Wawa,Ontario,P0S1K0,705-856-2517,705-856-2974,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=64,http://www.adsb.on.ca, 138 ,47.99693,-84.77276,SP,100,NA,NA,15.2,NA,60%,NA,50%,NA,40%,NA,47%,NA,63%,NA,42%,NA,NA,NA,NA,NA,NA,NA,18.61,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),530603,St Joseph Island Central Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,1326 RICHARDS,St. Joseph,Richards Landing,Ontario,P0R1J0,705-246-2618,705-246-0511,http://stjosephisland.adsb.on.ca/,http://www.adsb.on.ca, 100 ,46.28922,-84.03465,SP,100,NA,NA,14,NA,80%,NA,60%,NA,80%,NA,75%,NA,75%,NA,50%,NA,NA,NA,NA,NA,NA,NA,SP,SP,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),958050,Superior Heights Collegiate and Vocational School,Public,Not applicable,Secondary,English,Pre-Grade 9-12,NA,NA,750 north,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,NA,NA,http://superiorheights.adsb.on.ca/,http://www.adsb.on.ca, 839 ,46.50845,-84.28823,SP,99.9,SP,SP,18,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76%,-11,26%,4,68%,2,23.43,5.17,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),672610,Superior Heights Community Education,Public,Not applicable,Elementary,English,7-8,NA,NA,750 Northern,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C5,705-945-7142,705-945-7390,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=16,http://www.adsb.on.ca, 24 ,46.53951075,-84.33491723,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),106913,Superior Heights Intermediate School,Public,Not applicable,Elementary,English,7-8,NA,NA,750 North,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,705-945-7499,705-945-7497,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=85,http://www.adsb.on.ca, 104 ,46.53951075,-84.33491723,SP,99,NA,SP,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.89,SP,NA,NA,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),548413,Tarentorus Public School,Public,Not applicable,Elementary,English,JK-8,NA,NA,96 Northwood,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4M4,705-945-7138,705-945-7414,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=68,http://www.adsb.on.ca, 244 ,46.54554,-84.30847,NA,100,SP,SP,14.8,NA,96%,NA,100%,NA,81%,NA,78%,NA,83%,NA,61%,NA,NA,NA,NA,NA,NA,NA,13.95,24.04,1,1,Dec-04-17
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),551660,Thessalon Public School,Public,Not applicable,Elementary,English,JK-8,NA,Box 370,90 Stanley,Thessalon,Thessalon,Ontario,P0R1L0,705-842-2410,705-842-0129,http://thessalon.adsb.on.ca/,http://www.adsb.on.ca, 170 ,46.2604,-83.55897,NA,100,NA,NA,18.2,NA,29%,NA,14%,NA,25%,NA,64%,NA,58%,NA,42%,NA,NA,NA,NA,NA,NA,NA,16.04,SP,1,1,Dec-04-17
